iter	Logloss
0	0.6791153735
1	0.6678622791
2	0.6626839997
3	0.6520510084
4	0.6444937773
5	0.6381416356
6	0.6355213538
7	0.6296497718
8	0.6275498501
9	0.6209121491
10	0.6185962766
11	0.6169729685
12	0.61483001
13	0.6134444978
14	0.612248961
15	0.6085673771
16	0.6057217762
17	0.6026622116
18	0.6014778315
19	0.6004951654
20	0.5988044348
21	0.5976023403
22	0.5967268975
23	0.5960354259
24	0.5953889359
25	0.5943301037
26	0.5907790215
27	0.5858954993
28	0.583869416
29	0.5815213793
30	0.5808805244
31	0.5801617432
32	0.5796373234
33	0.577603561
34	0.5765813499
35	0.5759167055
36	0.5741768628
37	0.5734150447
38	0.5728309241
39	0.5722797341
40	0.5716093693
41	0.5711955794
42	0.570714012
43	0.5704047624
44	0.57009442
45	0.5697582582
46	0.5693410474
47	0.5689552485
48	0.5677690799
49	0.5673055392
50	0.5669950122
51	0.5666843006
52	0.56646808
53	0.5651886128
54	0.5648208121
55	0.5645033442
56	0.5642169899
57	0.5640429829
58	0.563422809
59	0.5631781148
60	0.5618554404
61	0.5611641959
62	0.5609308997
63	0.5604930505
64	0.5603509238
65	0.5601100762
66	0.5597879951
67	0.559419286
68	0.5592708002
69	0.5591031948
70	0.5589149085
71	0.5588029019
72	0.5584782942
73	0.5581181726
74	0.5579838668
75	0.5574997019
76	0.5549046148
77	0.5530976335
78	0.5529950519
79	0.5516452807
80	0.5515115711
81	0.5511854163
82	0.5509273511
83	0.5506694279
84	0.550526776
85	0.5504011571
86	0.5501671228
87	0.5500845408
88	0.5498449423
89	0.5497576478
90	0.5496398926
91	0.5492699769
92	0.5489469732
93	0.5487696448
94	0.548598576
95	0.5484761509
96	0.5479659253
97	0.5476318217
98	0.5473966803
99	0.5469960625
100	0.5460226795
101	0.5459395724
102	0.5457310166
103	0.5454827739
104	0.5454075445
105	0.5453152395
106	0.5452477602
107	0.5449962669
108	0.5442180829
109	0.5440561126
110	0.5439845737
111	0.5430760867
112	0.5428976228
113	0.5420841093
114	0.5419483983
115	0.541837215
116	0.5417521064
117	0.5415259073
118	0.5413992664
119	0.5410130275
120	0.5408440736
121	0.5407541106
122	0.540680471
123	0.5406189816
124	0.5404239814
125	0.5402276044
126	0.5401019713
127	0.5399218466
128	0.5396305244
129	0.5395339611
130	0.5394133528
131	0.5393107569
132	0.5391965502
133	0.5382848411
134	0.5379274022
135	0.537848965
136	0.5377789874
137	0.5370468211
138	0.536958902
139	0.5368735664
140	0.5367357689
141	0.5366308594
142	0.536531656
143	0.5363745117
144	0.5360278604
145	0.5359433196
146	0.5358334563
147	0.5357340968
148	0.5356508761
149	0.5355980594
150	0.5355381881
151	0.5354872593
152	0.5352542469
153	0.5350867267
154	0.5344906687
155	0.5344122314
156	0.5343360085
157	0.5341447129
158	0.5340306624
159	0.5338936171
160	0.5338413398
161	0.5337526543
162	0.5336938902
163	0.5336116489
164	0.5334916084
165	0.5333118527
